923	author	title	journal	abstract	0	pub_date	volume	issue	pages	0	0
86	"Butters, TD and Hughes, RC"	Isolation and characterization of mosquito cell membrane glycoproteins	Biochim Biophys Acta	"Plasma membranes have been purified from an established cell line, Mos 20A of Aedes aegypti, and analysed for glycoprotein and polypeptide constituents by isoelectric focusing and sodium dodecyl sulphate polyacrylamide gel electrophoresis. A major glycoprotein of molecular weight 110 000 carrying binding sites for concanavalin A and soybean agglutinin has been purified to homogeneity. Although located on the cell surface, the 110 kdalton glycoprotein is not labelled by lactoperoxidase-catalysed radioactive iodination of whole cells. Analysis indicated the presence of N-glycans, containing on average nine mannose residues, and the N-acetylglucosaminyl-beta 1, 4-N-acetylglucosamine sequence. In addition, O-glycosidically linked N-acetylgalactosamine residues are present."	1981	Feb-06	640	3	655-71	7213698	0
87	"Butters, TD"	Purification to homogeneity of Charonia lampas alpha-fucosidase by using sequential ligand-affinity chromatography	Biochem J	"An alpha-fucosidase from the liver of the marine gastropod Charonia lampas was purified to homogeneity using a procedure that included cation-exchange and gel-filtration chromatography, chromatofocusing and a final series of affinity-chromatography steps which involved the following gel-immobilized ligands: N-(5-carboxy-1-pentyl)-1,5-dideoxy-1,5-imino-L-fucitol, N-(5-carboxy-1-pentyl)-2-acetamido-1,5-imino-1,2,5-trideoxy-D-glucitol and thio-beta-D-galactoside. The enzyme was found to be a tetrameric glycoprotein with a native Mr of 208,000, and to exist in a number of isoforms displaying pI values in the range 6.0-6.4. Substrate-specificity studies using a number of fucosylated oligosaccharides of the lacto-N and lacto-N-neo series and a synthetic disaccharide confirmed that the enzyme catalyses the hydrolysis of a broad range of fucosidic linkages, and established the following hierarchy of susceptibility: Fuc alpha 2Gal beta 4Glc much much greater than Fuc alpha 6GlcNAc greater than Fuc alpha 2Gal beta 4GlcNAc greater than Gal beta 3(Fuc alpha 4)GlcNAC much much greater than Gal beta 4(Fuc alpha 3)GlcNAc. Similar relative rates of hydrolysis were also demonstrated using biantennary oligosaccharide alditols as substrates which contained fucose linked either alpha 3 or alpha 6 to the N-acetylglucosaminitol residue of the chitobiosyl core."	1991	Oct-01	279 ( Pt 1)		189-95	1930138	0
88	"Butters, TD"	Structural characterization of the N-linked oligosaccharides derived from HIVgp120 expressed in lepidopteran cells	Glycoconj J	"The oligosaccharides of recombinant HIV gp120 expressed in lepidopteran Sf9 cells were analysed after hydrazine release by gel permeation and high pH anion exchange chromatography. N-Linked glycans were exclusively of the oligomannose series and no evidence for charged complex or hybrid type glycans was found. However a glycosylation reaction similar to those found in vertebrates was evident. The major glycoform of gp120, that comprised 30% of all the species analysed, was structurally identified by exoglycosidase digestion and found to be a core fucosylated structure, Manalpha1,6(Manalpha1,3)Manbeta1,4GlcNAc(Fucalpha1+ ++,6)GlcNAc. Further confirmation of the ability of lepidopteran cells to fucosylate N-linked glycans was provided by an in vitro analysis of this reaction using authentic oligosaccharide substrates."	1998	Jan	15	1	83-8	9530961	277
89	"Butters, TD"	Effects of N-butyldeoxynojirimycin and the Lec3.2.8.1 mutant phenotype on N-glycan processing in Chinese hamster ovary cells: application to glycoprotein crystallization	Protein Sci	"Heterologous gene expression in either (1) the glycosylation-defective, mutant Chinese hamster ovary cell line, Lec3.2.8.1, or (2) the presence of the alpha-glucosidase inhibitor, N-butyldeoxynojirimycin facilitates the trimming of N-linked glycans of glycoproteins to single N-acetylglucosamine (GlcNAc) residues with endoglycosidase H (endo H). Both approaches are somewhat inefficient, however, with as little as 12% of the total protein being rendered fully endo H-sensitive under these conditions. It is shown here that the combined effects of these approaches on the restriction of oligosaccharide processing are essentially additive, thereby allowing the production of glycoproteins that are essentially completely endo H-sensitive. The preparation of a soluble chimeric form of CD58, the ligand of the human T-cell surface recognition molecule CD2, illustrates the usefulness of the combined approach when expression levels are low or the deglycosylated protein is unstable at low pH. The endo H-treated chimera produced crystals of space group P3(1)21 or P3(2)21, and unit cell dimensions a = b = 116.4 A, c = 51.4 A alpha = beta = 90 degrees , gamma = 120 degrees , that diffract to a maximum resolution of 1.8 A."	1999	Aug	8	8	1696-701	10452614	0
90	"Butters, TD"	Inhibition of glycosphingolipid biosynthesis: application to lysosomal storage disorders	Chem Rev		2000	Dec-13	100	12	4683-96	11749362	0
91	"Butters, TD"	Control in the N-linked glycoprotein biosynthesis pathway	Chem Biol	"N-linked glycosylation is vital for the development and maintenance of eukaryotic cells. The individual steps of this complex process are slowly being elucidated. In this issue, the Imperiali group further dissects the mechanics of oligosaccharyl transferase using substrate analogs."	2002	Dec	9	12	1266-8	12498877	0
92	"Butters, TD"	New therapeutics for the treatment of glycosphingolipid lysosomal storage diseases	Adv Exp Med Biol	"Glycosphingolipid lysosomal storage diseases are a small but challenging group of human disorders to treat. Although these appear to be monogenic disorders where the catalytic activity of enzymes in glycosphingolipid catabolism is impaired, the presentation and severity of disease is heterogeneous. Treatment is often restricted to palliative care, but in some disorders enzyme replacement does offer a significant clinical improvement of disease severity. An alternative therapeutic approach termed ""substrate deprivation"" or ""substrate reduction therapy"" (SRT) aims to reduce cellular glycosphingolipid biosynthesis to match the impairment in catalytic activity seen in lysosomal storage disorders. N-Alkylated imino sugars are nitrogen containing polyhydroxylated heterocycles that have inhibitory activity against the first enzyme in the pathway for glucosylating sphingolipid in eukaryotic cells, ceramide-specific glucosyltransferase. The use of N-alkylated imino sugars to establish SRT as an alternative therapeutic strategy is described in cell culture and gene knockout mouse disease models. One imino sugar, N-butyl-DNJ (NB-DNJ) has been used in clinical trials for type 1 Gaucher disease and has shown to be an effective and safe therapy for this disorder. The results of these trials and the prospects of improvement to the design of imino sugar compounds for treating Gaucher and other glycosphingolipid lysosomal storage disorders will be discussed."	2003		535		219-26	14714898	0
93	"Butters, TD"	Small-molecule therapeutics for the treatment of glycolipid lysosomal storage disorders	Philos Trans R Soc Lond B Biol Sci	"Glycosphingolipid (GSL) lysosomal storage disorders are a small but challenging group of human diseases to treat. Although these disorders appear to be monogenic in origin, where the catalytic activity of enzymes in GSL catabolism is impaired, the clinical presentation and severity of disease are heterogeneous. Present attitudes to treatment demand individual therapeutics designed to match the specific disease-related gene defect; this is an acceptable approach for those diseases with high frequency, but it lacks viability for extremely rare conditions. An alternative therapeutic approach termed 'substrate deprivation' or 'substrate reduction therapy' (SRT) aims to balance cellular GSL biosynthesis with the impairment in catalytic activity seen in lysosomal storage disorders. The development of N-alkylated iminosugars that have inhibitory activity against the first enzyme in the pathway for glucosylating sphingolipid in eukaryotic cells, ceramide-specific glucosyltransferase, offers a generic therapeutic for the treatment of all glucosphingolipidoses. The successful use of N-alkylated iminosugars to establish SRT as an alternative therapeutic strategy has been demonstrated in in vitro, in vivo and in clinical trials for type 1 Gaucher disease. The implications of these studies and the prospects of improvement to the design of iminosugar compounds for treating Gaucher and other GSL lysosomal storage disorders will be discussed."	2003	May-29	358	1433	927-45	12803927	0
94	"Butters, TD"	Therapeutic applications of imino sugars in lysosomal storage disorders	Curr Top Med Chem	"The N-alkylated imino sugars have inhibitory activity against the first enzyme in the pathway for glucosylating sphingolipid in eukaryotic cells, ceramide-specific glucosyltransferase. A therapeutic approach termed 'substrate deprivation' or 'substrate reduction therapy' (SRT) aims to reduce biosynthetic capability in the cell to match the reduced lysosomal catalytic activity seen in lysosomal storage disorders. The use of N-alkylated imino sugars to establish this therapeutic strategy is described in cell culture and gene knockout mouse disease models. One imino sugar, N-butyl-DNJ (NB-DNJ) has been in clinical trials for type 1 Gaucher disease and has shown to be an effective therapy for this disorder."	2003		3	5	561-74	12570866	0
95	"Butters, TD"	Imino sugar inhibitors for treating the lysosomal glycosphingolipidoses	Glycobiology	"The inherited metabolic disorders of glycosphingolipid (GSL) metabolism are a relatively rare group of diseases that have diverse and often neurodegenerative phenotypes. Typically, a deficiency in catabolic enzyme activity leads to lysosomal storage of GSL substrates and in many diseases, several other glycoconjugates. A novel generic approach to treating these diseases has been termed substrate reduction therapy (SRT), and the discovery and development of N-alkylated imino sugars as effective and approved drugs is discussed. An understanding of the molecular mechanism for the inhibition of the key enzyme in GSL biosynthesis, ceramide glucosyltransferase (CGT) by N-alkylated imino sugars, has also lead to compound design for improvements to inhibitory potency, bioavailability, enzyme selectivity, and biological safety. Following a successful clinical evaluation of one compound, N-butyl-deoxynojirimycin [(NB-DNJ), miglustat, Zavesca], for treating type I Gaucher disease, issues regarding the significance of side effects and CNS access have been addressed as exposure of drug to patients has increased. An alternative experimental approach to treat specific glycosphingolipid (GSL) lysosomal storage diseases is to use imino sugars as molecular chaperons that assist protein folding and stability of mutant enzymes. The principles of chaperon-mediated therapy (CMT) are described, and the potential efficacy and preclinical status of imino sugars is compared with substrate reduction therapy (SRT). The increasing use of imino sugars for clinical evaluation of a group of storage diseases that are complex and often intractable disorders to treat has considerable benefit. This is particularly so given the ability of small molecules to be orally available, penetrate the central nervous system (CNS), and have well-characterized biological and pharmacological properties."	2005	Oct	15	10	43R-52R	15901676	0
96	"Calarese, DA"	Antibody domain exchange is an immunological solution to carbohydrate cluster recognition	Science	"Human antibody 2G12 neutralizes a broad range of human immunodeficiency virus type 1 (HIV-1) isolates by binding an unusually dense cluster of carbohydrate moieties on the ""silent"" face of the gp120 envelope glycoprotein. Crystal structures of Fab 2G12 and its complexes with the disaccharide Manalpha1-2Man and with the oligosaccharide Man9GlcNAc2 revealed that two Fabs assemble into an interlocked VH domain-swapped dimer. Further biochemical, biophysical, and mutagenesis data strongly support a Fab-dimerized antibody as the prevalent form that recognizes gp120. The extraordinary configuration of this antibody provides an extended surface, with newly described binding sites, for multivalent interaction with a conserved cluster of oligomannose type sugars on the surface of gp120. The unique interdigitation of Fab domains within an antibody uncovers a previously unappreciated mechanism for high-affinity recognition of carbohydrate or other repeating epitopes on cell or microbial surfaces."	2003	Jun-27	300	5628	2065-71	12829775	0
97	"Calder, PC"	Uptake and incorporation of saturated and unsaturated fatty acids into macrophage lipids and their effect upon macrophage adhesion and phagocytosis	Biochem J	"Murine thioglycollate-elicited peritoneal macrophages were cultured in the presence of a variety of fatty acids added as complexes with bovine serum albumin. All fatty acids tested were taken up readily by the cells and both neutral and phospholipid fractions were enriched with the fatty acid provided in the medium. This generated a range of cells enriched in saturated, monounsaturated or polyunsaturated fatty acids, including n-3 acids of fish oil origin. Saturated fatty acid enrichment enhanced macrophage adhesion to both tissue culture plastic and bacterial plastic compared with enrichment with polyunsaturated fatty acids. Macrophages enriched with the saturated fatty acids myristate or palmitate showed decreases of 28% and 21% respectively in their ability to phagocytose unopsonized zymosan particles. Those enriched with polyunsaturated fatty acids showed 25-55% enhancement of phagocytic capacity. The greatest rate of uptake was with arachidonate-enriched cells. Phagocytic rate was highly correlated with the saturated/unsaturated fatty acid ratio, percentage of polyunsaturated fatty acid and index of unsaturation, except for macrophages enriched with fish-oil-derived fatty acids; they showed lower phagocytic activity than expected on the basis of their degree of unsaturation. These results suggest that membrane fluidity is important in determining macrophage adhesion and phagocytic activity. However, in the case of phagocytosis, this effect may be partially overcome if the cells are enriched with fish-oil-derived fatty acids. Thus it may be possible to modulate the activity of cells of the immune system, and so an immune response, by dietary lipid manipulation."	1990	Aug-01	269	3	807-14	2117922	0
98	"Calder, PC"	Site-specific differences in the fatty acid composition of human adipose tissue	Lipids	"The fatty acid composition of triacylglycerols from fifteen distinct adipose depots taken from each of seven adult male human subjects was compared. Oleic, palmitic, linoleic, stearic, myristic, palmitoleic and vaccenic acids accounted for more than 90% of the triacylglycerol fatty acids in all sites from all subjects; a number of other fatty acids were also identified and quantified. There were large differences in the average fatty acid composition between individual subjects. There were no site-specific differences in the proportions of myristic (3.8-4.7% of triacylglycerol fatty acids), palmitic (23-29%), linoleic (6.7-9.8%) or vaccenic (4.1-4.7%) acids or in the proportions of any of the less abundant fatty acids. There were some significant site-specific differences in the proportions of palmitoleic, oleic and stearic acids. The calf depot contained more palmitoleic acid (6.41 +/- 1.09%) than the trapezius (3.12 +/- 0.55%), perirenal (3.59 +/- 0.50%) and mesenteric (3.70 +/- 0.43%) depots, more oleic acid (42.13 +/- 1.27%) than the trapezius (36.03 +/- 2.18%), perirenal (36.50 +/- 1.56%) and breast (37.13 +/- 1.55%) depots and less stearic acid (5.18 +/- 0.89%) than the trapezius (8.57 +/- 0.97%), perirenal (8.49 +/- 0.75%), mesenteric (7.87 +/- 0.42%), breast (8.02 +/- 0.75%) and clavicular (8.34 +/- 0.78%) depots. The buttock depot contained less stearic acid (6.06 +/- 0.65%) than the perirenal, mesenteric and clavicular depots, while the anterior thigh depot contained less stearic acid (6.07 +/- 0.70%) than the perirenal depot. These findings indicate that, while most human adipose depots differ little in fatty acid composition, some sites, in particular the calf, perirenal, trapezius and mesenteric depots, have site-specific properties."	1992	Sep	27	9	716-20	1487971	0
99	"Calder, PC"	Incorporation of fatty acids by concanavalin A-stimulated lymphocytes and the effect on fatty acid composition and membrane fluidity	Biochem J	"The fatty acid compositions of the neutral lipid and phospholipid fractions of rat lymph node lymphocytes were characterized. Stimulation of rat lymphocytes with the T-cell mitogen concanavalin A resulted in significant changes in the fatty acid composition of both neutral lipids and phospholipids (a decrease in the proportions of stearic, linoleic and arachidonic acids and an increase in the proportion of oleic acid). Membrane fluidity was measured using nitroxide spin-label e.s.r., and increased during culture with concanavalin A. Culturing the lymphocytes in the absence of mitogen did not affect fatty acid composition or membrane fluidity. The uptake and fate of palmitic, oleic, linoleic and arachidonic acids were studied in detail; there was a time-dependent incorporation of each fatty acid into all lipid classes but each fatty acid had a characteristic fate. Palmitic and arachidonic acids were incorporated principally into phospholipids whereas oleic and linoleic acids were incorporated in similar proportions into phospholipids and triacylglycerols. Oleic acid was incorporated mainly into phosphatidylcholine, palmitic and linoleic acids were incorporated equally into phosphatidylcholine and phosphatidylethanolamine, and arachidonic acid was incorporated mainly into phosphatidylethanolamine. Supplementation of the culture medium with particular fatty acids (myristic, palmitic, stearic, oleic, linoleic, alpha-linolenic, arachidonic, eicosapentaenoic or docosahexaenoic acid) led to enrichment of that fatty acid in both neutral lipids and phospholipids. This generated lymphocytes with phospholipids differing in saturated/unsaturated fatty acid ratio, degree of polyunsaturation, index of unsaturation and n - 6/n - 3 ratio. This method allowed the introduction into lymphocyte phospholipids of fatty acids not normally present (e.g. alpha-linolenic) or usually present in low proportions (eicosapentaenoic and docosahexaenoic). These three n - 3 polyunsaturated fatty acids replaced arachidonic acid in lymphocyte phospholipids. Fatty acid incorporation led to an alteration in lymphocyte membrane fluidity: palmitic and stearic acids decreased fluidity whereas the unsaturated fatty acids increased fluidity. It is proposed that the changes in lymphocyte phospholipid fatty acid composition and membrane fluidity brought about by culture in the presence of polyunsaturated fatty acids are responsible for the inhibition of lymphocyte functions caused by these fatty acids."	1994	Jun-01	300 ( Pt 2)		509-18	8002957	0
100	"Campbell, EJ"	The ability of man to detect added elastic loads to breathing	Clin Sci		1961	Apr	20		223-31	13690228	0
101	"Campbell, ID"	Studies on the interaction of ligands with phosphorylase b using a spin-label probe	Eur J Biochem		1972	Oct	30	2	339-47	4351439	0
102	"Chapel, C"	Antiviral effect of alpha-glucosidase inhibitors on viral morphogenesis and binding properties of hepatitis C virus-like particles	J Gen Virol	"Hepatitis C virus (HCV) infections are a major public-health concern. New antiviral drugs are needed urgently to complement and improve the efficacy of current chemotherapies. The morphogenesis of HCV represents an interesting, and still unexploited, novel molecular target. alpha-Glucosidase inhibitors derived from the glucose analogue deoxynojirimycin (DNJ) inhibit viral morphogenesis in cellulo via perturbation of the N-glycosylation pathway and hence the misfolding of viral glycoproteins that depend on certain N-glycans for correct folding. Due to the heavy N-glycosylation of HCV glycoproteins, it was hypothesized that such inhibitors would also affect HCV morphogenesis. To study the effect of alpha-glucosidase inhibitors on viral morphogenesis and binding properties, HCV virus-like particles (VLPs) were produced by using baculovirus loaded with HCV structural-protein genes. Here, it is demonstrated that, in the presence of these alpha-glucosidase inhibitors, viral glycoproteins synthesized and retained in the endoplasmic reticulum (i) contain unprocessed, triglucosylated N-glycans, (ii) are impaired in their interaction with calnexin and (iii) are at least partially misfolded. Moreover, it is shown that, although the production of VLPs is not affected by alpha-glucosidase inhibitors, these VLPs contain unprocessed, triglucosylated N-glycans and potentially misfolded glycoproteins. Finally, it is demonstrated that VLPs produced in the presence of alpha-glucosidase inhibitors have impaired binding properties to hepatoma cells. The inhibitors of morphogenesis studied here target steps of the HCV viral cycle that may prevent or delay viral resistance. These alpha-glucosidase inhibitors may prove to be useful molecules to fight HCV infection in combination protocols."	2006	Apr	87	Pt 4	861-71	16528036	0
103	"Chapman, TM"	Glyco- and peptidomimetics from three-component Joullie-Ugi coupling show selective antiviral activity	J Am Chem Soc		2005	Jan-19	127	2	506-7	15643858	0
104	"Chapple, PA"	Follow-up of cases of opiate addiction from the time of notification to the Home Office	Br Med J		1972	Jun-17	2	815	680-3	5031710	0
105	"Chapple, PA"	A five-year follow-up of 108 cases of opiate addiction. I. General findings and a suggested method of staging	Br J Addict Alcohol Other Drugs		1972	Mar	67	1	33-8	4504252	0
106	"Chen, YJ"	Neutral N-glycans in adult rat brain tissue--complete characterisation reveals fucosylated hybrid and complex structures	Eur J Biochem	"Oligosaccharides expressed on cell surface and extracellular matrix glycoconjugates are potentially of crucial importance in determining many cell interactions. The complexity of cellular organisation of the brain and suggested involvement of N-glycosylation in neural development, make this an ideal system to study the potential role of glycosylation in tissue development, maintenance and function. Neural tissues are known to contain some highly unusual glycan structures but the structures expressed in neural tissue have not as yet been studied systematically. As a first initiative to assess the type of N-glycosylation occurring in neural tissue, we have characterised all of the major neutral N-linked oligosaccharides expressed in adult rat using a combination of matrix-assisted laser-desorption ionisation mass spectrometry, exoglycosidase sequencing combined with normal-phase HPLC, and two-dimensional HPLC mapping. Oligomannosidic glycans, Man(9-5)GlcNAc2, constituted approximately 15% of the total brain N-glycan pool. The other neutral N-glycan components consisted of a series of diantennary structures (6.5%), (2,6)-branched triantennary glycans (1%) and hybrid structures (3%). Both the complex and hybrid N-glycans were characterised by the presence of outer-arm alpha(1,3)-fucosylation (forming the Lewis[x] determinant), alpha(1,6)-core fucosylation and a bisecting GlcNAc residue. Some of these are unusual or novel structures not having been reported elsewhere. A large proportion of the diantennary N-glycans either lacked Gal residues entirely or were unsubstituted on one Man residue of the trimannosyl core, notably the Man alpha(1,3)-arm. This isomeric form is indicative of the action of a novel beta-hexosaminidase activity and suggests a modification in the classical biosynthetic pathway for N-linked oligosaccharides. Furthermore, expression of large amounts of oligomannosidic glycans is not usually associated with tissue glycoproteins and suggests a possible involvement of these structures in neural cell interactions."	1998	Feb-01	251	3	691-703	9490042	272
107	"Cheville, AL"	Lymphedema management	Semin Radiat Oncol	"Lymphedema, defined as the abnormal accumulation of protein rich fluid dysfunction of the lymphatic system, is a common sequela of cancer therapy. The incidence is highest among patients who have undergone resection and irradiation of a lymph node bed. Recently, increased attention has been focused on the modification of anticancer therapies in an effort to minimize lymphatic compromise. Sentinel lymph node biopsy is an example of a surgical procedure developed to preserve lymphatic function. Concurrent with the development of less invasive treatments, the field of lymphedema management has evolved rapidly over the past decade. Combined manual therapy, often referred to as complex decongestive physiotherapy (CDP), has emerged as the standard of care. CDP combines compression bandaging, manual lymphatic drainage (a specialized massage technique), exercise, and skin care with extensive patient education. Case series collectively describing a mean 65% volume reduction in over 10,000 patients attest its efficacy. Pneumatic compression pumps were historically widely used to control lymphedema. Their use as an isolated treatment modality is now rare. Reliance on pumps diminished with the recognition that they may exacerbate truncal and genital lymphedema, as well as injure peripheral lymphatics when applied at high pressures. Many noncompressive approaches, particularly the use of benzopyrone medications and liposuction, continue to be used abroad."	2003	Jul	13	3	290-301	12903017	0
108	"Cheville, AL"	The grading of lymphedema in oncology clinical trials	Semin Radiat Oncol	"Lymphedema is a common late toxicity of cancer therapy. This article describes the rationale and process utilized by the Lymphedema Working Group for the revision and expansion of the Common Toxicity Criteria version 2 (CTC v2.0) lymphedema criteria to produce the CTC v3.0 lymphedema criteria. Established clinician-based rating scales and quantitative instruments are reviewed in this article. None of the extant rating scales have been formally validated, nor has their reliability been assessed. Drawbacks of current scales were considered in formulating CTC v3.0 criteria. Most rely exclusively on volume to diagnose and grade lymphedema. This imposes significant clinical limitations, particularly in the assessment of toxicity in oncology clinical trials. Volume-based rating scales are of little value in rating the severity of bilateral limb and nonlimb edema. Problems with nonvolumetric staging systems (eg, CTC v2.0) include insufficient detail to permit useful discrimination of severity among the majority of lymphedema patients. Technologies for objectively quantifying lymphedema have been developed and validated. Although these are briefly reviewed, it is recognized that cost and access issues limit their widespread clinical utility and, as such, were not considered in developing the CTC v3.0 criteria. The CTC v3.0 lymphedema criteria adopted several innovations. Principle among these was the decision to generate separate criteria for volumetric increase, dermal changes, and subcutaneous fibrosis. We anticipate the use of the new CTC v3.0 lymphedema criteria to begin in mid-2003 for grading the key clinical features of this disorder in oncology clinical trials. The purpose of this article is to familiarize the reader with (1) background on the clinical features of lymphedema, (2) information on established lymphedema rating systems, (3) the consensus process and rationale of the Lymphedema Working Group, (4) the new CTC v3.0, and (5) quantitative techniques for assessment of lymphedema."	2003	Jul	13	3	214-25	12903011	0
109	"Chiacchia, KB and Drickamer, K"	Direct evidence for the transmembrane orientation of the hepatic glycoprotein receptors	J Biol Chem	"The technique of vectorial labeling has been used to study the orientation of the rat and chicken receptors for asialo- and agalactoglycoproteins in hepatocyte membranes. The membrane-impermeant enzyme lactoperoxidase was used to radioiodinate the outer surfaces of intact cells and endocytic vesicles, as well as both sides of total microsomal membranes. Proteolytically and chemically produced fragments of the receptor polypeptides were analyzed to identify the tyrosine residues modified in each case. The results reveal that each of these receptors is a transmembrane glycoprotein arranged with its NH2 terminus facing the cytoplasm and its COOH terminus, containing the carbohydrate-binding site, exposed at the cell surface. While the primary structures of the chicken and rat receptors are highly homologous in the extracellular portions of the proteins, the cytoplasmic domains show no sequence similarity."	1984	Dec-25	259	24	15440-6	6150936	0
110	"Childs, RA"	Neoglycolipids as probes of oligosaccharide recognition by recombinant and natural mannose-binding proteins of the rat and man	Biochem J	"Oligosaccharide recognition by three mammalian mannose-binding proteins was investigated by using as probes a series of structurally characterized neoglycolipids in t.l.c. binding assays. The neoglycolipids were derived from N-linked oligosaccharides of complex, high-mannose and hybrid types and from human milk oligosaccharides and simple di- and tri-saccharides. The three proteins, namely the recombinant carbohydrate-recognition domain of rat mannose-binding Protein A and the multi-subunit forms of rat and human serum mannose-binding proteins, were shown to have in common reactivity with oligosaccharide probes containing one or more non-reducing terminal N-acetylglucosamine residue(s). Substitution with galactose masks reactivity. The three proteins also bound to non-reducing terminal mannose residues in high-mannose-type oligosaccharides, non-reducing terminal fucose residues in the sequence Fuc alpha 1-4(Gal beta 1-3)GlcNAc and non-reducing terminal glucose residues in dextran oligomers; the recombinant binding domain gave consistently weaker binding. The relative reactivities with the various probes differ for each protein. Overall, the reaction patterns of the three mammalian proteins differ from that of the plant lectin concanavalin A, which showed preferential binding to the high-mannose type, weak binding to biantennary complex type and no binding to the fuco-oligosaccharide and simple oligosaccharide probes. As a group, the three mammalian proteins resemble bovine serum conglutinin and behave as lectins with rather broad sugar specificities directed at certain non-reducing terminal N-acetylglucosamine, mannose, glucose and fucose residues, but with subtle differences in fine specificities. These results illustrate the potential of neoglycolipids in studies of oligosaccharide recognition by natural and recombinant proteins of diverse biological systems."	1989	Aug-15	262	1	131-8	2818558	0
111	"Childs, RA"	Differential recognition of core and terminal portions of oligosaccharide ligands by carbohydrate-recognition domains of two mannose-binding proteins	J Biol Chem	"Two different mannose-binding proteins (MBP-A and MBP-C), which show 56% sequence identity, are present in rat serum and liver. It has previously been shown that MBP-A binds to a range of monosaccharide-bovine serum albumin conjugates, and that, among oligosaccharide ligands tested, preferential binding is to terminal nonreducing N-acetylglucosamine residues of complex type N-linked oligosaccharides. In order to compare the binding specificity of MBP-C, an expression system has been developed for production of a fragment of this protein which contains the COOH-terminal carbohydrate-recognition domain. After radioiodination, the domain has been used to probe natural glycoproteins, neoglycoproteins, and neoglycolipids. Like MBP-A, MBP-C binds several different monosaccharides conjugated to bovine serum albumin, including mannose, fucose, and N-acetylglucosamine, although binding to the last of these is relatively weaker than observed for MBP-A. The results of binding to natural glycoproteins and to neoglycolipids containing oligosaccharides derived from these proteins are most compatible with the interpretation that MBP-C interacts primarily with the trimannosyl core of complex N-linked oligosaccharides, with additional ligands being terminal fucose and perhaps also peripheral mannose residues of high mannose type oligosaccharides. This binding specificity is thus quite distinct from that of MBP-A. The presence of multiple MBPs with distinct binding specificities in preparations derived from serum and liver explains conflicting conclusions which have been reached about carbohydrate recognition by these proteins."	1990	Dec-05	265	34	20770-7	2249985	0
112	"Childs, RA"	Specificity of lung surfactant protein SP-A for both the carbohydrate and the lipid moieties of certain neutral glycolipids	J Biol Chem	"Binding specificity of the major surfactant protein SP-A from human and dog lung has been investigated. Radiobinding experiments have shown that both proteins bind in a Ca(2+)-dependent manner to galactose, mannose, fucose, and glucose linked to bovine serum albumin. These results are in accord with a previous study in which monosaccharides were linked to agarose (Haagsman, H. P., Hawgood, S., Sargeant, T., Buckley, D., White, R. T., Drickamer, K., and Benson, B. J. (1987) J. Biol. Chem. 262, 13877-13880). Chromatogram overlays in conjunction with in situ liquid secondary ion mass spectrometry (TLC-LSIMS) of several purified glycosphingolipids and neoglycolipids as well as binding assays with glycolipids immobilized on plastic wells, demonstrate recognition of galactose (human and dog SP-A), glucose, and lactose (human SP-A) in association with specific lipids. In addition, the occurrence of several neutral and acidic glycosphingolipids in human and rat extracellular surfactants and rat alveolar type II cells is described. Selected components among the neutral glycolipids are bound by radiolabeled human SP-A; these are identified by TLC-LSIMS as predominantly ceramide mono- and disaccharides (human surfactant) and ceramide tri- and tetrasaccharides (rat surfactant and type II cells). A recombinant carbohydrate recognition domain (CRD) of human SP-A inhibits the binding of human SP-A to galactosyl ceramide and to galactose- and mannose-bovine serum albumin, indicating that the CRD is directly involved in the binding of SP-A to these ligands. These results provide evidence for a novel type of binding specificity for proteins that have Ca(2+)-dependent CRDs and raise the possibility that glycosphingolipids are endogenous ligands for SP-A."	1992	May-15	267	14	9972-9	1577827	0
113	"Clark, RA"	"Identification of lectin-purified neural glycoproteins, GPs 180, 116, and 110, with NMDA and AMPA receptor subunits: conservation of glycosylation at the synapse"	J Neurochem	"The postsynaptic apparatus is associated with a number of glycoproteins with apparent molecular masses of 180, 116, and 110 kDa, which are highly concentrated in and may be uniquely associated with this structure. These glycoproteins, purified by concanavalin A lectin-affinity chromatography, showed immunoreactivity in the present study with subunit-specific antibodies to glutamate receptors as follows: GP 180, NMDA receptor subunits NR2A/NR2B; GP 116, NMDA receptor NR1 (1a); and GP 110, pan-alpha-amino-3-hydroxy-5-methylisoxazole-4-propionate (pan-AMPA) receptors. Sensitivities to the glycosidases peptide N-glycosidase F and endo-beta-N-acetylglucosaminidase H on both western blots and silver-stained gels suggested that the glutamate receptors were at least major constituents of the glycoprotein bands. Similar detailed glycosylation was observed for all three glycoproteins, with neutral oligosaccharides being dominant. Oligomannosidic glycans (with from five to nine mannoses) accounted for approximately 50% of the neutral sugars, with Man 5 (at almost 20% of the neutral sugars) always the major glycan. Other abundant neutral oligosaccharides were of the complex type. Similar sensitivities to peptide N-glycosidase F and endo-beta-N-acetylglucosaminidase H were observed for cell line-expressed NMDA receptor subunits, suggesting that irrespective of the glycosylation processing available, the least highly processed oligosaccharides will be expressed. This may be indicative of glycosylation sites in these receptors that are inaccessible to the later processing enzymes and favours the oligomannosidic class of glycans in functional roles."	1998	Jun	70	6	2594-605	9603226	0
